date,weekday,start,end,venue,title,organizer,category,source_url,status,ticket_url,description,duration_source
2026-08-02,Söndag,10:00,10:30,Helge And,Der Fenriswolf,Kråkans hjärta,Teater,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/343730,"Jeder hat von Fenris gehört, oder? Der große Wolf, der während Ragnarök Sonne und Mond verschlingen und Odin töten wird!

Aber wie kam er nach Asgard und warum konnten die Asen die Vorhersagung nicht ändern?

In diesem Dialogstück erzählen wir Ihnen, wie das alles passiert ist.

Basierend auf der Geschichte von „Lokis Kinder“ aus Snorres Edda.

Kråkans Hjärta wurde 2023 von Stefan Johansson gegründet und spielte in der Mittelalterwoche 2024 „Frejas Hochzeit“ und 2025 “Fenrisulven”, beide Stuecke auf Schwedisch.

Aufgrund des internationalen Publikums und der zahlreichen Mitarbeiter aus unterschiedlichen Ländern haben wir eine deutsche Uebersetzung des Stueckes vorgenommen.",source
2026-08-02,Söndag,10:00,10:45,Russtibus Scen,Berättarens kärleksfulla morgonsagor,Jean-Pierre Salkvist,Teater,https://www.medeltidsveckan.se/programme/,,,"Berättarföreställningarna är interaktiva föreställningar, där publiken får möta den runtresande berättaren som med stort engagemang och med hjälp av publiken gestaltar de fantastiska historierna. Föreställningarna baseras på den klassiska berättarkonsten från en tid då de traderade historierna var vårt enda medium. Sagorna är mångfacetterade berättelser med klassiska element och en hel del oväntade vändningar.

Föreställningarna är inspirerade av och har sin grund i folksagor. Dessa kan vara nästan vad som helst och komma från vilken plats som helst, under århundradena har de gått från mun till mun.",source
2026-08-02,Söndag,10:30,11:20,Kapitelhusgården,Historisk hyllning till brännässlor,Jolanda Snellenberg från Den Gröna Fenixen,Föredrag,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/349815,"En växt som de flesta avskyr numera, men som under medeltiden blev odlad av många: brännässla. En mångsidig växt som går att använda både till en mängd olika maträtter, som medicinalväxt och har olika sätt att användas i vardagen.

Jolanda Snellenberg från Den Gröna Fenixen förklarar varför brännässlan borde vara allas favoritväxt och varför den var så omtyckt under medeltiden. Det blir en välförtjänt Historisk Hyllning till Brännässlor!

OBS! Den här programpunkten hålls i Stensalen på Kapitelhusets övervåning. Du måste därför kunna ta dig upp- och nedför en trappa för att kunna delta.",source
2026-08-02,Söndag,10:30,10:45,Visby domkyrka Sankta Maria,Tornmusik med Fanfare Gotlandica,Visby domkyrka Sankta Maria,Konsert,https://www.medeltidsveckan.se/programme/,,,En festlig inramning av Medeltidsveckan.,source
2026-08-02,Söndag,11:00,19:00,Festivalområde Paviljongsplan,"Forum Vulgaris, marknadens hjärta",,Övrigt,https://www.medeltidsveckan.se/programme/,,,"Av kärlek bygger Proknekt Forum Vulgaris, som av flera ses som marknadens hjärta.

Här fylls marknaden med sköna toner, nyskrivna sagor, gyckel eller annat spännande!

Vill du också ta chansen?

Spela upp den där coola grejen, passa på att samtidigt göra reklam för din nästa föreställning, komma närmre publiken och spela på hatt, visa upp en favorit i repris och med oss skapa den bästa stämningen vi bara kan på årets medeltidsvecka?

Du är välkommen med eller utan tidigare scenvana.

Anmälan sker till forum.vulgaris@medeltidsveckan.se

Vi är där. Hopps du också är det?!

Schemat fylls på här eftersom och kan komma att ändras. Aktuellt dagsschema hittas alltid även vid scenen.

Söndag 2/8

14:30 – Gycklargruppen Trix

15:30 – Varonia

16:30 – The Tin Weasels

Måndag 3/8

11:00 – Berliner Rittergilde

11:30 – Skrik o Skrål

12:00 – Canardus Horribilis

13:00 – Medvind

14:00 – Seidhra

14:30 – Gycklargruppen Trix

15:30 – Divina

16:00 – Koenix

17:30 – The Tin Weasels

Tisdag 4/8

11:45 – Koenix

12:30 – Björn Ende

13:30 – Divina

14:30 – Gycklargruppen Trix

15:30 – Codex Regius

16:30 – Troll och Älva

17:30 – Aaron van den Bosch

18:30 – The Tin Weasels

Onsdag 5/8

11:00 – Berliner Rittergilde

11:30 – Skrik o Skrål

12:30 – Ruben

13:00 – Utdelning Krämarkransar

13:30 – Vox Calix

14:30 – Codex Regius

Hundra knektars marsch anländer runt 16-ish

16:30 – The Tin Weasels

Torsdag 6/8

12:30 – Ruben

13:00 – Berliner Rittergilde

13:30 – Räven

14:30 –Codex Regius

15:30 – Varonia

16:30 – Aaron van den Bosch

18:30 – The Tin Weasels

Fredag 7/8

11:00 – Berliner Rittergilde

11:30 – Skrik o Skrål

14:00 – Suttung

14:30 – Gycklargruppen Trix

15:30 – Varonia

16:30 – The Tin Weasels

17:30 – Aaron van den Bosch

18:30 – Medeltidsbandet Krabat

Lördag 8/8

14:30 – Gycklargruppen Trix

15:30 – Low Hanging Fruit

16:30 – The Tin Weasels",source
2026-08-02,Söndag,11:00,19:00,Festivalområde Paviljongsplan,"M.P. Bagpipes, säckpipor från medeltid till nutid",Max Persson,Övrigt,https://www.medeltidsveckan.se/programme/,,,"Visning av medeltida instrument .

Max Persson tillverkar säckpipor i olika modeller, som vi visar, berättar om, och spelar på.

Provspelning för besökare, stora som små, vi har till och med en säckpipa som passar barnen!

Max Persson tillverkar instrumenten, och är du sugen , så går det bra att beställa ett på plats!

Welcome to try a set of Swedish bagpipes or medieval bagpipes!

Or just enjoy the sound!

www.maxbagpipes.com",source
2026-08-02,Söndag,11:00,17:00,Festivalområde Strandgärdet,#allakansyiläder Sy dina egna skor!,Clurigt,Övrigt,https://www.medeltidsveckan.se/programme/,,,"Med hjälp av en materialsats i läder med färdiga hål för söm syr du dina egna skor. De färdiga hålen gör det enkelt att sy ihop delarna för hand. Vi har två olika modeller och färger att välja mellan. Du väljer själv vilken modell du vill sy. Vi har modeller som passar både för stora och små.

Drop-in workshop 11:00-17:00

Finns det plats vid bordet är det bara att slå sig ned och sy!

Pris från 725:- (du betalar på plats för materialsatsen, workshopen är gratis)

I vårt tält hittar du även andra materialsatser och du kan också fläta armband i läder eller sy dig en lädermugg. Mer info om konceptet #allakansyiläder hittar du på clurigt.se

Lädret är vegetabiliskt garvat och kommer från Tärnsjö garveri i norra Uppland.",source
2026-08-02,Söndag,11:00,15:00,Festivalområde Strandgärdet,Drakens Näste,Nåni - Kultur och Historia,Övrigt,https://www.medeltidsveckan.se/programme/,,,"En drake har hittat sig in i drottningens tält på marknaden och gjort det till sitt näste! Ve och fasa!

Ni måste hitta de 3 magiska kristallerna som försvunnit i tumultet i tältet och öppna den magiska kistan så att drottningen får tillbaka sin krona! För de modiga som lyckas väntar en belöning!

Pris: 50:- per barn (vuxna i sällskap med barn går gratis) swishas på plats

Plats: Nåni-området vid Russtibus scen.",source
2026-08-02,Söndag,11:00,18:00,Festivalområde Strandgärdet,Historisk sjukamp,Nåni - Kultur och Historia,Övrigt,https://www.medeltidsveckan.se/programme/,,,"En historisk, analog sjukamp där vänner och familjer kan utmana varandra och se vem som får mest poäng!

Vem skjuter bäst i prick med slangbellan och armborstet? Vem kastar vikingayxorna mot flest munkar? Kan du veva snabbast eller skjuta puckarna mitt i prick? Eller är det du som får ner flest käglor i vår medeltida bowling?

Sjukampen är öppen varje dag 9:30-18 nere vid Nåni-området vid Russtibus Scen.

Inträde: 50:- per deltagare som swishas på plats.

Plats: Nåni-området vid Russtibus scen.",source
2026-08-02,Söndag,11:00,12:00,Visby domkyrka Sankta Maria,Högmässa i medeltida ton,Visby domkyrka Sankta Maria,Övrigt,https://www.medeltidsveckan.se/programme/,,,Högmässa i medeltida ton med Storkyrkans Gosskör under ledning av Gregory Lloyd.,source
2026-08-02,Söndag,11:15,12:45,Russtibus Scen,Barnens invigning,Medeltidsveckan & Nåni Kultur & Historia,Övrigt,https://www.medeltidsveckan.se/programme/,,,"Nytt för i år!

Välkomna till Medeltidsveckans invigning för barn – en festlig start fylld av lek, skratt och magi.

Ta med hela familjen, släkt och vänner till Russtibus scen och upplev en färgsprakande invigning med gratis framträdanden från en mängd artister. Här väntar underhållning som sätter tonen för en hel vecka av äventyr under vecka 32.

Slå er ner, njut av stämningen – vi bjuder dessutom på frukt 🍎

Denna programpunkt görs i samarbete med Nåni- Kultur & Historia.",source
2026-08-02,Söndag,12:00,14:00,Kapitelhusgården,Kurs i historisk användning av brännässlor,Jolanda Snellenberg från Den Gröna Fenixen,Workshop,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/349816,"Brännässlor blev under medeltiden odlat för sin mångsidighet. Under denna kurs ska du få hands-on erfarenhet att brännässlorna inte behöva bränna dig – framförallt kommer du att jobba med dess fibrer som till och med kan vara silkesmjuka.

Jolanda Snellenberg från Den Gröna Fenixen kommer att lära dig varför brännässlan borde vara allas favoritväxt och en årtusenden av tradition kommer att återuppväckas.

Det är rekommenderat men inte nödvändigt att gå på föreläsningen om brännässlor som hålls på söndagen den 2:a augusti.",source
2026-08-02,Söndag,12:00,13:00,Kapitelhusgården,Kurs om historiska häxbrygder,Hella Nathorst-Böös,Workshop,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/345988,"Häxan Hella Nathorst-Böös lär dig att göra historiska häxbrygder. Hella berättar historien bakom häxbrygder, läkeväxter och häxprocesser. Och hur trolldrycker faktiskt funkar. Du skapar en egen flaska med valfri brygd och vaxsigill. Välj mellan t ex kärleksdryck, rättvisans eldcider eller ölbryggerskans förbannelse. Du får med dig hem en flaska med dryck och sigill samt recept. Möjlighet finns också att köpa med sig flera trolldrycker och göra flaska med sigill hemma.

Kursen berör förföljningen av läkekunniga kvinnor och är därför inte lämplig för barn.

OBS! Den här programpunkten hålls i Stensalen på Kapitelhusets övervåning. Du måste därför kunna ta dig upp- och nedför en trappa för att kunna delta.",source
2026-08-02,Söndag,12:00,13:00,Södertorg,Invigningsparaden,,Övrigt,https://www.medeltidsveckan.se/programme/,,,"Invigningsparaden startar med Slottsfrun och Borgmästarnas invigningstal kl. 12.30.

Kl. 12.40 avgår paraden från Södertorg till Medeltidsarenan.

Samling för alla som vill gå med i tåget kl. 12.00, Södertorg.

Välkomna!",source
2026-08-02,Söndag,12:30,13:30,Visby domkyrka Sankta Maria,Guidad visning av domkyrkans medeltida vind,Visby domkyrka Sankta Maria,Övrigt,https://www.medeltidsveckan.se/programme/,,,"Guidad visning av domkyrkans vind.

Visningen går uppför de branta och smala medeltida trapporna till vinden där det finns mycket historia att ta del av.

Barn under 12 år ska gå med vuxet sällskap. Ingen tillgång till hiss.

Bra att veta: Stundvis är det trånga utrymmen och lågt i tak.

Köp din biljett på https://www.nortic.se/ticket/organizer/3298 eller med hjälp av Turistbyrån på Donners Plats 1, Visby.

Pris

Vuxen: 200 kronor 

Medeltidspris 160 kronor (visa upp Medeltidsbandet och får 40 kronor rabatt).

Ungdom 13–17 år: 100 kronor 

Barn 0–12 år: Fri entré",source
2026-08-02,Söndag,13:00,14:30,Festivalområde Paviljongsplan,Starke Viking – Nybörjare,Starke Viking,Performance,https://www.medeltidsveckan.se/programme/,,,"STARKE VIKING ÅTER PÅ MEDELTIDSVECKAN!

Kom och heja på kämparna i Nybörjarklassen! Här tävlar alla de som är nyfikna på hur starka de är och som vill testa sina gränser i Starke Vikings spännande och unika grenar!

Högt tempo! Roliga event och fantastiska styrkeprov ramas in av vår nya arena och publikens jubel!

Detta är familjeunderhållning i toppklass! Och här kan även publiken få prova på att lyfta och prata med kämparna efter tävlingen!

Välkomna!

ENGLISH

STARKE VIKING RETURNS TO MEDELTIDSVECKAN!

Come and cheer on the competitors in the Beginner Class!

This is where those curious about their own strength come to test their limits in Starke Viking’s exciting and unique events!

High energy! Fun challenges and impressive feats of strength, all framed by our new arena and the roar of the crowd!

This is top-class family entertainment! And after the competition, even the audience will get a chance to try lifting and talk to the competitors!

Welcome!",source
2026-08-02,Söndag,14:00,15:30,Almedalen,Visbys uppgång och fall mellan åren 1100-1527 – vandring med Gautmund Kremer,Gautmund Kremer,Övrigt,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/345980,"Här möter ni Calle Brobäcks karaktär: pälshandlaren Gautmund Kremer. Följ med på en vandring utöver det vanliga med en guide vars kunskap om Visby är bottenlös!

Uppsamling sker vid scenen i Almedalen.",source
2026-08-02,Söndag,14:00,15:00,Fightingarenan,Styringheims Melee tournament,Styringheim,Strid,https://www.medeltidsveckan.se/programme/,,,"En turnering i rustad strid enligt SCAs regler. I denna turnering så kommer deltagarna delas in i två lag, beroende på hur många deltagare vi ser kan det bli 3 mot 3, 5 mot 5 eller 10 mot 10. Denna typen av tornering är löst baserad på medeltida behordium. Vilket var turneringar där deltagarna slogs i full rustning till fots med träpåk, som en typ av uppvisning i stil med tornerspel.

Inom medeltidsföreningen SCA genomförs en typ av rustad fullkontaktsstrid med träpåk inspirerad av medeltida turneringar. Det är säkerhet som är den viktigaste aspekten, tätt följt av ärlighet och ära. Segern tas aldrig, utan ges snarare av en kämpe som erkänner sin motståndares färdighet.",source
2026-08-02,Söndag,14:00,15:00,Kapitelhusgården,Kurs om historiska häxbrygder,Hella Nathorst-Böös,Workshop,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/345989,"Häxan Hella Nathorst-Böös lär dig att göra historiska häxbrygder. Hella berättar historien bakom häxbrygder, läkeväxter och häxprocesser. Och hur trolldrycker faktiskt funkar. Du skapar en egen flaska med valfri brygd och vaxsigill. Välj mellan t ex kärleksdryck, rättvisans eldcider eller ölbryggerskans förbannelse. Du får med dig hem en flaska med dryck och sigill samt recept. Möjlighet finns också att köpa med sig flera trolldrycker och göra flaska med sigill hemma.

Kursen berör förföljningen av läkekunniga kvinnor och är därför inte lämplig för barn.

OBS! Den här programpunkten hålls i Stensalen på Kapitelhusets övervåning. Du måste därför kunna ta dig upp- och nedför en trappa för att kunna delta.",source
2026-08-02,Söndag,14:00,15:20,Packhusplan,Mat och dryck i medeltidens Visby,Hanna Tunberg och Susanne de Paulis,Guidad visning,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/343676,"Visbys kulinariska historia är en brokig väg genom hansatid, orostid och stormaktstid. Det handlar om människor som vi, men med helt andra uppsättningar kunskaper och råvaror än vi använder idag. Vi berättar under vår vandring i Visby om mätta munkar, banbrytande örtagårdar, slott, latrinsystem och vinstugor. Vi kommer även knyta an till årets tema Kärlek med ett litet ätligt prov från de historiska källorna.

Hanna Tunberg är arkeolog med fokus på mat och dryck och författare till bland annat de två mathistoriska kokböckerna En sås av ringa värde (2009) och An Early Meal (2013). Föreläser och skriver gärna och ofta om mathistoria från vikingatid till nutid.

Susanne de Paulis är en erfaren Visbyguide med en fot stadigt förankrad i Kapitelhusgårdens verksamhet och den andra som evenemangsarrangör, guide och entusiastisk förmedlare av idéhistoria, kulturarv och det där som finns mellan raderna och som gör oss mänskliga, oavsett tidsepok.",source
2026-08-02,Söndag,14:00,14:40,Russtibus Scen,TRiX ger – Gycklarens nya trick,Gycklargruppen TRiX,Performance,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/343753,"I landet Narragonien bor det en urtråkig kung. Han är så tråkig att han har förbjudit allt skratt – för säkerhets skull. Och det är inte lätt att vara gycklare när det bara finns tråkiga trick att välja på.

Men så en dag händer något som förändrar allt!

En spektakulär familjeföreställning för alla åldrar med historiska referenser, luriga jongleringstrick, svajiga balanskonster, säkert nåt som brinner och – om vi inte aktar oss – väldigt mycket skratt.

Låt gycklarna Svart Adam Solander och Amy Alsegård från TRiX ta dig och hela familjen med till den gyckliga delen av medeltidens traditioner på mysiga Russtibus scen!

Föreställningen hämtar sin inspiration från den legendariska boken El conde Lucanor från 1335 av Juan Manuel – verket som senare gav upphov till sagan om Kejsarens nya kläder.

Ta med hela familjen, släkten och alla ni känner – nu blir det gyckel!

English:

In the land of Narragonia lives a king so dull that he has banned all laughter – just in case. And it is not easy to be a jester when there are only boring tricks to choose from.

But then one day something happens that changes everything!

A spectacular family comedy show suitable for all ages with historical references, tricky juggling tricks, wobbling balancing acts, probably something that will burn and – if we are not careful – a lot of laughter. Join the jesters Svart Adam Solander and Amy Alsegård from TRiX as they transform the Russtibus stage into a whirlwind of medieval mayhem.

The performance is loosely based on the 1335 classic El conde Lucanor by Juan Manuel – the very book that inspired HC Andersen’s The Emperor’s New Clothes.

While performed in Swedish, the show is rich in non-verbal comedy and spectacular circus acts.

Bring the whole family and everyone you know – let the show begin!",source
2026-08-02,Söndag,14:00,14:45,Sagoängen,HÖRSÄGEN: Historiska sagor och sägner!,Hörsägen,Teater,https://www.medeltidsveckan.se/programme/,,,"Hörsägen berättar sagor direkt från medeltiden!

Ta med picknickkorgen och lyssna på historier om Robin Hood, Tor och Oden, riddarna av Runda Bordet, och många andra kändisar från förr-i-världen-tiden. Passar fint för hela familjen.

Nya sagor varje dag!",source
2026-08-02,Söndag,14:00,15:30,Strandgärdet,Trallworkshop,Annie Björkman,Workshop,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/343650,"Att tralla brukar inom folkmusikvärlden syfta på att sjunga folkliga danslåtar som exempelvis polska, vals eller schottis. Då sjunger man på stavelser som dudelidej, ladidej eller liknande istället för att använda text. Sångaren får då samma funktion som en spelman som spelar till dans.

Trallworkshopen lärs ut av Annie Björkman. Under 2025 blev hon en av de tre första som fick titeln riksspelman i trall under Zornnämndens uppspel i Örebro. Med studier i folksång bakom sig från Malungs Folkhögskola, Kungliga Musikhögskolan och Universitetet i Sørøst-Norge så har hon under många år förkovrat sig inom folkmusiktraditionen. Sedan hösten 2024 leder hon Trallkedjan, en digital studiecirkel i att tralla till dans som sker 6 tillfällen per termin via Studieförbundet Bilda. Annies favoritgenre inom folksången har alltid varit trallandet. Att få tralla till dans är bland det bästa hon vet!

Under workshopen kommer du efter en kort sånguppvärmning få lära dig låtar att sjunga och tips och tricks för att tralla till dans. Det kan vara bra att ha lite sångvana men det är inget krav och nybörjare inom folkmusik är välkomna. Häng med på workshop, lär dig lite trall och känn dans-svänget!

Workshopen arrangeras via föreningen Nåni – Kultur och Historia och sker i deras kurstält, på Strandgärdet, under Medeltidsveckan.",source
2026-08-02,Söndag,15:00,20:00,Hantverkspaviljongen Strandgärdet,GÖR DIN EGEN TVÅL FRÅN GRUNDEN,Elle,Övrigt,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/345959,"DET HÄR GÖR VI:

Hantverkstvålar

Shampobars

Disktvål

Tvätt- och städtvål (flingor)

– Kursmaterialet ingår i kursavgiften

– Ingen förkunskap krävs

– Kursens längd 5 tim.

– Kursavgift: 1495 kr.

Varmt välkommen – med kärlek från naturen!",source
2026-08-02,Söndag,15:15,16:15,Sagoängen,“Love in the Circle” – Hungarian Moldvai Csángó Dance Gathering,Marcell Miklós // Mystory Wood by Marcello,Workshop,https://www.medeltidsveckan.se/programme/,,,"In this workshop you can get to know some basics of the most archaic Hungarian dances.For many generations, dancing together around the village fire was one of the strongest ways to create belonging. In Hungary, this tradition lived for the longest amongst the Csángó folkgroup, while the Spinning Room became the main space of bonding, dating and dancing basically all over the whole country. We call this tradition “táncház”, namely “dance house”, a living gathering where music and movement bring people together.

In this gathering you are invited to step into one of the most archaic branches of Hungarian folk culture: the Moldvai Csángó dances. These dances preserve both ancient circle and line forms, echoing old Balkan and other European communal dance traditions, while also holding gentle paired dances that allow connection to deepen.

We begin in the safety of the circle. Simple, repeating steps make it easy to join – even if you have never danced before, because each dance tune has its own simple step that can be ornamented as the music gradually becomes faster. Gradually, as the music builds, we may move into paired forms always adapted to the group and guided in an accessible way.

The focus is not on mastering steps, but on sharing rhythm, presence and courage. No perfection is required. You can enter and leave at any time. While the circle and line dances are largely gender-neutral, paired dances traditionally include leader and follower roles. Participants are welcome to choose the role they feel comfortable with. Mutual respect for both cultural tradition and personal choice is expected athrought the gathering.

I am Marcello – woodcarving artist, handcraft teacher, RPG game designer and founder of Mystory Wood. In my work I carve stories into wood. In dance, we carve connection into the present moment. Both are about shaping something living with our hands or feet and hearts.

Even if you never know how to dance all these steps, you must learn how to join it. Are you ready to step into the circle, to feel the strength of togetherness?

After all, who knows what kind of romance might begin with the person whose foot you accidentally stepped on during the dance?",source
